update,cats,dogs,fleas,FpC,FpD,catLockAveSize,dogLockAveSize,fleaKeyAveSize,fleaKeyAveSizeOnCats,fleaKeyAveSizeOnDogs,catBirths,dogBirths,fleaBirths,catDeaths,dogDeaths,fleaDeaths,fleaJumps,fleaJumpsAcross,fleasInherited,catCollectedResource,fleaOnCatCollectedResource,catTheft,infectedCatsRate,bitMatchCat,dogCollectedResource,fleaOnDogCollectedResource,dogTheft,infectedDogsRate,bitMatchDog,fleaCollectedResource
1030,81,0,3727,46.012346,0.000000,30.000000,-1,40.338074,40.338074,-1,3,0,376,5,0,138,163,0,40,8.596276,6.074506,6.074506,1.000000,0.886174,-1,-1,-1,-1,-1,0.132019
1040,92,0,4159,45.206522,0.000000,30.000000,-1,40.330849,40.330849,-1,5,0,434,4,0,173,280,0,52,8.285181,5.827138,5.827138,1.000000,0.879057,-1,-1,-1,-1,-1,0.128900
1050,91,0,4190,46.043956,0.000000,30.000000,-1,40.408831,40.408831,-1,4,0,433,4,0,143,91,0,44,8.421557,5.974048,5.974048,1.000000,0.872048,-1,-1,-1,-1,-1,0.129747
1060,82,0,3849,46.939024,0.000000,30.000000,-1,40.437776,40.437776,-1,2,0,394,4,0,153,94,0,19,8.832642,6.126707,6.126707,1.000000,0.889876,-1,-1,-1,-1,-1,0.130525
1070,90,0,4090,45.444444,0.000000,30.000000,-1,40.399511,40.399511,-1,6,0,283,5,0,158,199,0,78,8.439389,6.190241,6.190241,1.000000,0.856305,-1,-1,-1,-1,-1,0.136216
1080,99,0,4464,45.090909,0.000000,30.000000,-1,40.355735,40.355735,-1,6,0,417,2,0,189,161,0,73,8.401684,5.908081,5.908081,1.000000,0.859252,-1,-1,-1,-1,-1,0.131026
1090,101,0,4720,46.732673,0.000000,30.000000,-1,40.348729,40.348729,-1,4,0,376,4,0,155,60,0,63,8.614752,6.269736,6.269736,1.000000,0.877727,-1,-1,-1,-1,-1,0.134162
1100,100,0,4449,44.490000,0.000000,30.000000,-1,40.318948,40.318948,-1,6,0,496,5,0,162,159,0,83,8.875800,6.090867,6.090867,1.000000,0.856528,-1,-1,-1,-1,-1,0.136904
1110,91,0,4085,44.890110,0.000000,30.000000,-1,40.333170,40.333170,-1,5,0,316,5,0,137,72,0,62,8.398718,5.923626,5.923626,1.000000,0.861648,-1,-1,-1,-1,-1,0.131958
1120,81,0,3655,45.123457,0.000000,30.000000,-1,40.383311,40.383311,-1,6,0,285,5,0,146,163,0,78,8.524136,6.187798,6.187798,1.000000,0.842548,-1,-1,-1,-1,-1,0.137130
1130,91,0,4169,45.813187,0.000000,30.000000,-1,40.314464,40.314464,-1,6,0,323,2,0,166,133,0,66,8.454066,6.234579,6.234579,1.000000,0.850808,-1,-1,-1,-1,-1,0.136087
1140,98,0,4490,45.816327,0.000000,30.000000,-1,40.328285,40.328285,-1,3,0,598,5,0,160,228,0,48,8.543690,5.350867,5.350867,1.000000,0.863352,-1,-1,-1,-1,-1,0.116790
